ID,Make,Model,Make_Year,Color,Body_Type,kilometers_run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),CC_Displacement,Transmission,Transmission_Type,Power(BHP),Torque(Nm),kilometer_at_liter,Price
845,MarutiSuzuki,AltoK10,2011,black,hatchback,60256.0,2,5,petrol,35,998,5-Speed,Manual,67.1,90.0,20.92,2722.222222222222
846,Ford,Figo,2011,green,hatchback,84494.0,2,5,petrol,45,1196,5-Speed,Manual,71.0,102.0,11.0,3222.222222222222
847,MarutiSuzuki,Ertiga,2018,blue,muv,58025.0,1,7,diesel,45,1248,5-Speed,Manual,89.0,200.0,24.52,12122.222222222223
848,Hyundai,Xcent,2015,white,sedan,89133.0,1,5,petrol,43,1197,5-Speed,Manual,81.0,114.0,19.1,5222.222222222223
849,Renault,Kwid,2019,white,hatchback,60983.0,1,5,petrol,28,999,5-Speed,Manual,67.0,91.0,23.01,4777.777777777777
850,Honda,Amaze,2014,silver,sedan,61881.0,2,5,petrol,35,1198,5-Speed,Manual,86.7,109.0,18.0,4777.777777777777
851,Renault,Triber,2021,white,muv,32340.0,1,7,petrol,40,999,5-Speed,Manual,71.0,96.0,20.0,8322.222222222223
852,Hyundai,Grandi10,2017,silver,hatchback,37237.0,2,5,petrol,43,1197,5-Speed,Automatic,81.86,113.75,18.9,5877.777777777777
853,MarutiSuzuki,Baleno,2017,grey,hatchback,64528.0,1,5,diesel,37,1248,5-Speed,Manual,74.0,190.0,27.39,8022.222222222223
854,Datsun,GO,2015,white,hatchback,73892.0,1,5,petrol,35,1798,5-Speed,Manual,67.05,104.0,19.02,3100.0
855,MarutiSuzuki,Baleno,2015,grey,hatchback,68796.0,1,5,petrol,37,1197,5-Speed,Manual,81.8,113.0,21.01,6888.888888888889
856,Mahindra,XUV500,2015,silver,suv,40438.0,1,7,diesel,70,2179,6-Speed,Manual,140.0,330.0,15.1,12555.555555555555
857,Hyundai,Venue,2020,red,suv,12699.0,1,5,petrol,45,998,6-Speed,Manual,118.35,171.6,18.27,11588.888888888889
858,MarutiSuzuki,Alto800,2018,grey,hatchback,23745.0,1,5,petrol,35,796,5-Speed,Manual,47.3,69.0,22.0,4455.555555555556
859,MarutiSuzuki,Omni,2016,silver,muv,38717.0,1,5,petrol,36,796,4-Speed,Manual,34.0,59.0,16.8,3722.222222222222
860,Honda,WR-V,2019,red,suv,73732.0,1,5,diesel,40,1498,6-Speed,Manual,97.89,200.0,23.7,10166.666666666666
861,Renault,Kwid,2021,red,hatchback,16742.0,1,5,petrol,28,1298,5-Speed,Automatic,67.0,91.0,22.0,5866.666666666667
862,Honda,City,2017,brown,sedan,65581.0,3,5,petrol,40,1497,5-Speed,Automatic,117.6,145.0,17.4,8722.222222222223
863,Hyundai,Elitei20,2017,red,hatchback,39427.0,1,5,petrol,45,1197,5-Speed,Manual,81.83,114.7,18.6,7777.777777777777
864,MarutiSuzuki,Celerio,2014,white,hatchback,52004.0,1,5,petrol,35,998,5-Speed,Automatic,67.04,90.0,23.1,4877.777777777777
